fpr,tpr
0.00436,0.57392
0.00436,0.57475
0.00436,0.57558
0.00436,0.57641
0.00436,0.57724
0.00436,0.57807
0.00436,0.57890
0.00436,0.57973
0.00436,0.58056
0.00436,0.58140
0.00436,0.58223
0.00436,0.58306
0.00443,0.58306
0.00450,0.58306
0.00450,0.58389
0.00457,0.58389
0.00457,0.58472
0.00464,0.58472
0.00470,0.58472
0.00470,0.58555
0.00477,0.58555
0.00484,0.58555
0.00484,0.58638
0.00484,0.58721
0.00484,0.58804
0.00484,0.58887
0.00484,0.58970
0.00484,0.59053
0.00484,0.59136
0.00484,0.59219
0.00484,0.59302
0.00484,0.59385
0.00484,0.59468
0.00484,0.59551
0.00484,0.59635
0.00491,0.59635
0.00498,0.59635
0.00498,0.59718
0.00498,0.59801
0.00498,0.59884
0.00498,0.59967
0.00498,0.60050
0.00498,0.60133
0.00498,0.60216
0.00498,0.60299
0.00498,0.60382
0.00498,0.60465
0.00498,0.60548
0.00498,0.60631
0.00498,0.60714
0.00498,0.60797
0.00498,0.60880
0.00498,0.60963
0.00498,0.61047
0.00504,0.61047
0.00504,0.61130
0.00504,0.61213
0.00504,0.61296
0.00504,0.61379
0.00504,0.61462
0.00504,0.61545
0.00504,0.61628
0.00504,0.61711
0.00504,0.61794
0.00504,0.61877
0.00504,0.61960
0.00511,0.61960
0.00511,0.62043
0.00511,0.62126
0.00511,0.62209
0.00511,0.62292
0.00511,0.62375
0.00518,0.62375
0.00525,0.62375
0.00525,0.62458
0.00525,0.62542
0.00525,0.62625
0.00525,0.62708
0.00532,0.62708
0.00539,0.62708
0.00539,0.62791
0.00539,0.62874
0.00539,0.62957
0.00539,0.63040
0.00539,0.63123
0.00539,0.63206
0.00539,0.63289
0.00539,0.63372
0.00539,0.63455
0.00539,0.63538
0.00539,0.63621
0.00539,0.63704
0.00539,0.63787
0.00539,0.63870
0.00539,0.63953
0.00539,0.64037
0.00539,0.64120
0.00539,0.64203
0.00539,0.64286
0.00539,0.64369
0.00545,0.64369
0.00552,0.64369
0.00552,0.64452
0.00552,0.64535
0.00552,0.64618
0.00552,0.64701
0.00552,0.64784
0.00552,0.64867
0.00552,0.64950
0.00552,0.65033
0.00552,0.65116
0.00552,0.65199
0.00552,0.65282
0.00552,0.65365
0.00552,0.65449
0.00559,0.65449
0.00559,0.65532
0.00559,0.65615
0.00566,0.65615
0.00573,0.65615
0.00579,0.65615
0.00579,0.65698
0.00579,0.65781
0.00579,0.65864
0.00586,0.65864
0.00586,0.65947
0.00586,0.66030
0.00593,0.66030
0.00600,0.66030
0.00600,0.66113
0.00600,0.66196
0.00600,0.66279
0.00600,0.66362
0.00607,0.66362
0.00614,0.66362
0.00614,0.66445
0.00614,0.66528
0.00614,0.66611
0.00614,0.66694
0.00614,0.66777
0.00614,0.66860
0.00614,0.66944
0.00614,0.67027
0.00614,0.67110
0.00614,0.67193
0.00620,0.67193
0.00627,0.67193
0.00627,0.67276
0.00627,0.67359
0.00627,0.67442
0.00634,0.67442
0.00634,0.67525
0.00634,0.67608
0.00634,0.67691
0.00641,0.67691
0.00648,0.67691
0.00648,0.67774
0.00648,0.67857
0.00648,0.67940
0.00648,0.68023
0.00654,0.68023
0.00661,0.68023
0.00661,0.68106
0.00661,0.68189
0.00661,0.68272
0.00661,0.68355
0.00661,0.68439
0.00661,0.68522
0.00661,0.68605
0.00661,0.68688
0.00661,0.68771
0.00668,0.68771
0.00668,0.68854
0.00668,0.68937
0.00668,0.69020
0.00668,0.69103
0.00668,0.69186
0.00675,0.69186
0.00675,0.69269
0.00675,0.69352
0.00682,0.69352
0.00689,0.69352
0.00695,0.69352
0.00702,0.69352
0.00702,0.69435
0.00709,0.69435
0.00716,0.69435
0.00716,0.69518
0.00716,0.69601
0.00716,0.69684
0.00716,0.69767
0.00723,0.69767
0.00729,0.69767
0.00736,0.69767
0.00743,0.69767
0.00743,0.69850
0.00743,0.69934
0.00743,0.70017
0.00743,0.70100
0.00743,0.70183
0.00743,0.70266
0.00743,0.70349
0.00743,0.70432
0.00743,0.70515
0.00743,0.70598
0.00743,0.70681
0.00750,0.70681
0.00750,0.70764
0.00750,0.70847
0.00750,0.70930
0.00750,0.71013
0.00757,0.71013
0.00757,0.71096
0.00757,0.71179
0.00764,0.71179
0.00764,0.71262
0.00770,0.71262
0.00777,0.71262
0.00777,0.71346
0.00784,0.71346
0.00791,0.71346
0.00798,0.71346
0.00804,0.71346
0.00804,0.71429
0.00804,0.71512
0.00804,0.71595
0.00804,0.71678
0.00804,0.71761
0.00804,0.71844
0.00811,0.71844
0.00811,0.71927
0.00811,0.72010
0.00818,0.72010
0.00825,0.72010
0.00832,0.72010
0.00839,0.72010
0.00845,0.72010
0.00852,0.72010
0.00859,0.72010
0.00866,0.72010
0.00873,0.72010
0.00873,0.72093
0.00873,0.72176
0.00873,0.72259
0.00879,0.72259
0.00886,0.72259
0.00886,0.72342
0.00886,0.72425
0.00886,0.72508
0.00886,0.72591
0.00886,0.72674
0.00886,0.72757
0.00886,0.72841
0.00886,0.72924
0.00893,0.72924
0.00900,0.72924
0.00900,0.73007
0.00900,0.73090
0.00900,0.73173
0.00900,0.73256
0.00900,0.73339
0.00900,0.73422
0.00900,0.73505
0.00900,0.73588
0.00900,0.73671
0.00900,0.73754
0.00900,0.73837
0.00900,0.73920
0.00900,0.74003
0.00900,0.74086
0.00900,0.74169
0.00907,0.74169
0.00914,0.74169
0.00920,0.74169
0.00927,0.74169
0.00934,0.74169
0.00941,0.74169
0.00941,0.74252
0.00941,0.74336
0.00941,0.74419
0.00941,0.74502
0.00948,0.74502
0.00954,0.74502
0.00961,0.74502
0.00968,0.74502
0.00968,0.74585
0.00968,0.74668
0.00968,0.74751
0.00968,0.74834
0.00975,0.74834
0.00982,0.74834
0.00982,0.74917
0.00982,0.75000
0.00989,0.75000
0.00995,0.75000
0.00995,0.75083
0.00995,0.75166
0.01002,0.75166
0.01002,0.75249
0.01002,0.75332
0.01002,0.75415
0.01009,0.75415
0.01016,0.75415
0.01016,0.75498
0.01016,0.75581
0.01023,0.75581
0.01023,0.75664
0.01023,0.75748
0.01023,0.75831
0.01023,0.75914
0.01023,0.75997
0.01029,0.75997
0.01036,0.75997
0.01036,0.76080
0.01043,0.76080
0.01043,0.76163
0.01043,0.76246
0.01043,0.76329
0.01043,0.76412
0.01043,0.76495
0.01050,0.76495
0.01057,0.76495
0.01057,0.76578
0.01057,0.76661
0.01064,0.76661
0.01070,0.76661
0.01077,0.76661
0.01084,0.76661
0.01084,0.76744
0.01084,0.76827
0.01084,0.76910
0.01084,0.76993
0.01084,0.77076
0.01084,0.77159
0.01091,0.77159
0.01091,0.77243
0.01091,0.77326
0.01098,0.77326
0.01104,0.77326
0.01104,0.77409
0.01111,0.77409
0.01118,0.77409
0.01125,0.77409
0.01132,0.77409
0.01139,0.77409
0.01145,0.77409
0.01152,0.77409
0.01152,0.77492
0.01152,0.77575
0.01159,0.77575
0.01159,0.77658
0.01166,0.77658
0.01166,0.77741
0.01166,0.77824
0.01166,0.77907
0.01166,0.77990
0.01166,0.78073
0.01173,0.78073
